,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
59,2018-12-09,AA,AA_CODESHARE,AA,4925,PT,,4925,13277,MGM,"Montgomery, AL",11057,CLT,"Charlotte, NC",1230,,,,,,,1501,,,1.0,B,0.0,N,91.0,,,1.0,372.0,,,,,,,,,
60,2018-12-09,AA,AA_CODESHARE,AA,4927,PT,N609DP,4927,11042,CLE,"Cleveland, OH",14100,PHL,"Philadelphia, PA",1042,1036.0,-6.0,17.0,1053.0,1156.0,5.0,1210,1201.0,-9.0,0.0,,0.0,N,88.0,85.0,63.0,1.0,363.0,,,,,,,,,
61,2018-12-09,AA,AA_CODESHARE,AA,4927,PT,N609DP,4927,14100,PHL,"Philadelphia, PA",11042,CLE,"Cleveland, OH",830,827.0,-3.0,24.0,851.0,956.0,8.0,1011,1004.0,-7.0,0.0,,0.0,N,101.0,97.0,65.0,1.0,363.0,,,,,,,,,
62,2018-12-09,AA,AA_CODESHARE,AA,4928,PT,N907BP,4928,12945,LEX,"Lexington, KY",14100,PHL,"Philadelphia, PA",532,522.0,-10.0,11.0,533.0,644.0,6.0,729,650.0,-39.0,0.0,,0.0,N,117.0,88.0,71.0,1.0,520.0,,,,,,,,,
63,2018-12-09,AA,AA_CODESHARE,AA,4929,PT,,4929,11995,GSO,"Greensboro/High Point, NC",14100,PHL,"Philadelphia, PA",1048,,,,,,,1215,,,1.0,B,0.0,N,87.0,,,1.0,365.0,,,,,,,,,
64,2018-12-09,AA,AA_CODESHARE,AA,4929,PT,,4929,14100,PHL,"Philadelphia, PA",11995,GSO,"Greensboro/High Point, NC",835,,,,,,,1016,,,1.0,B,0.0,N,101.0,,,1.0,365.0,,,,,,,,,
65,2018-12-09,AA,AA_CODESHARE,AA,4930,PT,N640AE,4930,15070,SWF,"Newburgh/Poughkeepsie, NY",14100,PHL,"Philadelphia, PA",600,552.0,-8.0,35.0,627.0,713.0,9.0,719,722.0,3.0,0.0,,0.0,N,79.0,90.0,46.0,1.0,127.0,,,,,,,,,
66,2018-12-09,AA,AA_CODESHARE,AA,4932,PT,N604AE,4932,14574,ROA,"Roanoke, VA",14100,PHL,"Philadelphia, PA",600,603.0,3.0,,,,,730,,,1.0,B,0.0,N,90.0,,,1.0,311.0,,,,,,603.0,65.0,65.0,
67,2018-12-09,AA,AA_CODESHARE,AA,4933,PT,,4933,13139,LYH,"Lynchburg, VA",11057,CLT,"Charlotte, NC",857,,,,,,,1020,,,1.0,B,0.0,N,83.0,,,1.0,175.0,,,,,,,,,
68,2018-12-09,AA,AA_CODESHARE,AA,4934,PT,N603KC,4934,14100,PHL,"Philadelphia, PA",14576,ROC,"Rochester, NY",1911,1907.0,-4.0,20.0,1927.0,2020.0,8.0,2036,2028.0,-8.0,0.0,,0.0,N,85.0,81.0,53.0,1.0,257.0,,,,,,,,,
69,2018-12-09,AA,AA_CODESHARE,AA,4935,PT,N683AE,4935,12397,ITH,"Ithaca/Cortland, NY",14100,PHL,"Philadelphia, PA",602,553.0,-9.0,47.0,640.0,720.0,12.0,729,732.0,3.0,0.0,,0.0,N,87.0,99.0,40.0,1.0,192.0,,,,,,,,,
70,2018-12-09,AA,AA_CODESHARE,AA,4936,PT,N640AE,4936,13230,MDT,"Harrisburg, PA",14100,PHL,"Philadelphia, PA",1400,1414.0,14.0,15.0,1429.0,1454.0,10.0,1452,1504.0,12.0,0.0,,0.0,N,52.0,50.0,25.0,1.0,84.0,,,,,,,,,
71,2018-12-09,AA,AA_CODESHARE,AA,4936,PT,N640AE,4936,14100,PHL,"Philadelphia, PA",13230,MDT,"Harrisburg, PA",1242,1255.0,13.0,26.0,1321.0,1341.0,7.0,1329,1348.0,19.0,0.0,,0.0,N,47.0,53.0,20.0,1.0,84.0,13.0,0.0,6.0,0.0,0.0,,,,
72,2018-12-09,AA,AA_CODESHARE,AA,4937,PT,N603KC,4937,14100,PHL,"Philadelphia, PA",14711,SCE,"State College, PA",1515,1510.0,-5.0,16.0,1526.0,1556.0,4.0,1623,1600.0,-23.0,0.0,,0.0,N,68.0,50.0,30.0,1.0,153.0,,,,,,,,,
73,2018-12-09,AA,AA_CODESHARE,AA,4937,PT,N603KC,4937,14711,SCE,"State College, PA",14100,PHL,"Philadelphia, PA",1700,1647.0,-13.0,12.0,1659.0,1738.0,5.0,1805,1743.0,-22.0,0.0,,0.0,N,65.0,56.0,39.0,1.0,153.0,,,,,,,,,
74,2018-12-09,AA,AA_CODESHARE,AA,4938,PT,N659AE,4938,10257,ALB,"Albany, NY",14100,PHL,"Philadelphia, PA",758,743.0,-15.0,35.0,818.0,908.0,8.0,913,916.0,3.0,0.0,,0.0,N,75.0,93.0,50.0,1.0,212.0,,,,,,,,,
75,2018-12-09,AA,AA_CODESHARE,AA,6080,CP,N205NN,6080,12892,LAX,"Los Angeles, CA",14057,PDX,"Portland, OR",935,938.0,3.0,24.0,1002.0,1158.0,4.0,1202,1202.0,0.0,0.0,,0.0,N,147.0,144.0,116.0,1.0,834.0,,,,,,,,,
76,2018-12-09,AA,AA_CODESHARE,AA,6080,CP,N205NN,6080,14057,PDX,"Portland, OR",12892,LAX,"Los Angeles, CA",1238,1236.0,-2.0,14.0,1250.0,1454.0,11.0,1500,1505.0,5.0,0.0,,0.0,N,142.0,149.0,124.0,1.0,834.0,,,,,,,,,
77,2018-12-09,AA,AA_CODESHARE,AA,6085,CP,N215NN,6085,12892,LAX,"Los Angeles, CA",14771,SFO,"San Francisco, CA",2130,2125.0,-5.0,24.0,2149.0,2243.0,9.0,2259,2252.0,-7.0,0.0,,0.0,N,89.0,87.0,54.0,1.0,337.0,,,,,,,,,
78,2018-12-09,AA,AA_CODESHARE,AA,6087,CP,N204NN,6087,11292,DEN,"Denver, CO",12892,LAX,"Los Angeles, CA",1408,1402.0,-6.0,21.0,1423.0,1522.0,11.0,1545,1533.0,-12.0,0.0,,0.0,N,157.0,151.0,119.0,1.0,862.0,,,,,,,,,
79,2018-12-09,AA,AA_CODESHARE,AA,6087,CP,N204NN,6087,12892,LAX,"Los Angeles, CA",11292,DEN,"Denver, CO",840,834.0,-6.0,18.0,852.0,1142.0,7.0,1207,1149.0,-18.0,0.0,,0.0,N,147.0,135.0,110.0,1.0,862.0,,,,,,,,,
80,2018-12-09,AA,AA_CODESHARE,AA,6088,CP,N202NN,6088,12892,LAX,"Los Angeles, CA",14057,PDX,"Portland, OR",815,808.0,-7.0,22.0,830.0,1023.0,5.0,1048,1028.0,-20.0,0.0,,0.0,N,153.0,140.0,113.0,1.0,834.0,,,,,,,,,
81,2018-12-09,AA,AA_CODESHARE,AA,6088,CP,N202NN,6088,14057,PDX,"Portland, OR",12892,LAX,"Los Angeles, CA",1128,1122.0,-6.0,13.0,1135.0,1340.0,16.0,1350,1356.0,6.0,0.0,,0.0,N,142.0,154.0,125.0,1.0,834.0,,,,,,,,,
82,2018-12-09,AA,AA_CODESHARE,AA,6089,CP,N213NN,6089,12892,LAX,"Los Angeles, CA",14679,SAN,"San Diego, CA",935,932.0,-3.0,21.0,953.0,1018.0,4.0,1024,1022.0,-2.0,0.0,,0.0,N,49.0,50.0,25.0,1.0,109.0,,,,,,,,,
